kind,source,target,source_subsystem,target_subsystem
include,io/resource_importer_ply.cpp,editor/gaussian_thumbnail_generator.h,io,editor
include,io/resource_importer_ply.cpp,io/gaussian_import_preset.h,io,io
include,io/resource_importer_ply.cpp,io/ply_loader.h,io,io
include,io/resource_importer_ply.cpp,io/resource_importer_ply.h,io,io
include,io/resource_importer_ply.cpp,logger/gs_logger.h,io,logger
include,io/resource_importer_ply.h,core/gaussian_splat_asset.h,io,core
include,io/resource_importer_spz.cpp,core/gaussian_data.h,io,core
include,io/resource_importer_spz.cpp,editor/gaussian_thumbnail_generator.h,io,editor
include,io/resource_importer_spz.cpp,io/gaussian_import_preset.h,io,io
include,io/resource_importer_spz.cpp,io/resource_importer_spz.h,io,io
include,io/resource_importer_spz.cpp,io/spz_loader.h,io,io
include,io/resource_importer_spz.cpp,logger/gs_logger.h,io,logger
include,io/resource_importer_spz.h,core/gaussian_splat_asset.h,io,core
include,io/spz_loader.cpp,io/spz_loader.h,io,io
include,io/spz_loader.cpp,logger/gs_logger.h,io,logger
include,io/spz_loader.h,core/gaussian_data.h,io,core
include,lod/cluster_builder.cpp,lod/cluster_builder.h,lod,lod
include,lod/cluster_builder.cpp,logger/gs_logger.h,lod,logger
include,lod/cluster_builder.h,core/gaussian_data.h,lod,core
include,lod/hierarchical_splat_structure.cpp,lod/hierarchical_splat_structure.h,lod,lod
include,lod/hierarchical_splat_structure.cpp,logger/gs_logger.h,lod,logger
include,lod/hierarchical_splat_structure.h,core/gaussian_data.h,lod,core
include,lod/lod_config.cpp,core/gs_project_settings.h,lod,core
include,lod/lod_config.cpp,lod/lod_config.h,lod,lod
include,lod/lod_config.cpp,logger/gs_logger.h,lod,logger
include,logger/gs_debug_trace.cpp,logger/gs_debug_trace.h,logger,logger
include,logger/gs_logger.cpp,logger/gs_logger.h,logger,logger
include,nodes/gaussian_splat_container.cpp,core/gaussian_splat_merge_utils.h,nodes,core
include,nodes/gaussian_splat_container.cpp,core/gaussian_splat_world.h,nodes,core
include,nodes/gaussian_splat_container.cpp,logger/gs_logger.h,nodes,logger
include,nodes/gaussian_splat_container.cpp,nodes/gaussian_splat_container.h,nodes,nodes
include,nodes/gaussian_splat_container.cpp,nodes/gaussian_splat_node_3d.h,nodes,nodes
include,nodes/gaussian_splat_container.cpp,nodes/gaussian_splat_world_3d.h,nodes,nodes
include,nodes/gaussian_splat_container.h,core/gaussian_data.h,nodes,core
include,nodes/gaussian_splat_container.h,renderer/gaussian_splat_renderer.h,nodes,renderer
